,Movie Titles,Year of Release,Genres,Imdb Rating,Streaming Services,URLs
59,Loki,2021,"Action & Adventure, Fantasy, Science-Fiction, Drama",8.2,Hotstar,https://www.justwatch.com/in/tv-show/loki
60,Aashram,2020,"Crime, Drama, Mystery & Thriller",7.4,MX Player,https://www.justwatch.com/in/tv-show/aashram
61,Bigg Boss,2006,Reality TV,3.7,Voot,https://www.justwatch.com/in/tv-show/bigg-boss
62,Farzi,2023,"Drama, Crime, Mystery & Thriller",8.4,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi
63,Panchayat,2020,"Comedy, Drama",8.9,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat
64,A Murder at the End of the World,2023,"Mystery & Thriller, Drama, Crime",7.2,Hotstar,https://www.justwatch.com/in/tv-show/a-murder-at-the-end-of-the-world
65,Tulsa King,2022,"Drama, Crime",8.0,Jio Cinema,https://www.justwatch.com/in/tv-show/tulsa-king
66,Scam 2003: The Telgi Story,2023,"Drama, Crime",8.0,Sony Liv,https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story
67,Kaala Paani,2023,"Drama, Mystery & Thriller",8.0,Netflix,https://www.justwatch.com/in/tv-show/kaala-paani
68,Koffee with Karan,2004,Comedy,6.4,Hotstar,https://www.justwatch.com/in/tv-show/koffee-with-karan
69,What If...?,2021,"Animation, Action & Adventure, Science-Fiction",7.5,Hotstar,https://www.justwatch.com/in/tv-show/what-if-2021
70,The Village,2023,"Mystery & Thriller, Horror, Science-Fiction",5.4,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-village
71,Asur: Welcome to Your Dark Side,2020,"Crime, Drama, Mystery & Thriller",8.5,Jio Cinema,https://www.justwatch.com/in/tv-show/asur
72,Obliterated,2023,"Drama, Comedy, Action & Adventure",6.7,Netflix,https://www.justwatch.com/in/tv-show/obliterated
73,The Last of Us,2023,"Drama, Action & Adventure, Horror, Science-Fiction, Mystery & Thriller",8.8,Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us
74,One Piece,1999,"Action & Adventure, Drama, Fantasy, Animation, Comedy",8.9,Crunchyroll,https://www.justwatch.com/in/tv-show/one-piece
75,Yellowjackets,2021,"Drama, Horror, Mystery & Thriller",7.8,Jio Cinema,https://www.justwatch.com/in/tv-show/yellowjackets
76,Mastram,2020,"Drama, Fantasy, Comedy",7.2,Not Available for Streaming,https://www.justwatch.com/in/tv-show/mastram
77,Fargo,2014,"Crime, Drama, Mystery & Thriller",8.9,Not Available for Streaming,https://www.justwatch.com/in/tv-show/fargo
78,Aspirants:Season2,2021,Drama,9.2,Amazon Prime Video,https://www.justwatch.com/in/tv-show/aspirants
79,Rick and Morty,2013,"Science-Fiction, Action & Adventure, Animation, Comedy",9.1,Netflix,https://www.justwatch.com/in/tv-show/rick-and-morty
80,Shehar Lakhot,2023,"Drama, Mystery & Thriller, Crime",6.7,Amazon Prime Video,https://www.justwatch.com/in/tv-show/shehar-lakhot
81,Gandii Baat,2018,"Crime, Drama, Mystery & Thriller",3.4,Alt Balaji,https://www.justwatch.com/in/tv-show/gandii-baat
82,Spartacus,2010,"Drama, Romance, Action & Adventure",8.5,Amazon Prime Video,https://www.justwatch.com/in/tv-show/spartacus
83,Aarya,2020,"Drama, Crime, Mystery & Thriller, Action & Adventure",7.9,Hotstar,https://www.justwatch.com/in/tv-show/aarya
84,The Family Man,2019,"Comedy, Drama, Action & Adventure",8.7,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man
85,Scam 1992,2020,"Crime, Drama, Mystery & Thriller",9.3,Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992
86,Lucifer,2016,"Crime, Science-Fiction, Drama, Fantasy",8.1,Netflix,https://www.justwatch.com/in/tv-show/lucifer
87,Campus Beats,2023,Drama,7.1,Amazon miniTV,https://www.justwatch.com/in/tv-show/campus-beats
88,Single's Inferno,2021,Reality TV,7.2,Netflix,https://www.justwatch.com/in/tv-show/singles-inferno
89,Friends,1994,"Comedy, Romance",8.9,Netflix,https://www.justwatch.com/in/tv-show/friends
90,Squid Game: The Challenge,2023,Reality TV,5.7,Netflix,https://www.justwatch.com/in/tv-show/squid-game-the-challenge
91,Money Heist,2017,"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",8.2,Netflix,https://www.justwatch.com/in/tv-show/paperhouse
92,Slow Horses,2022,"Drama, Mystery & Thriller, Crime",8.0,Apple TV Plus,https://www.justwatch.com/in/tv-show/slow-horses
93,The Married Woman,2021,"Romance, Drama",6.5,Not Available for Streaming,https://www.justwatch.com/in/tv-show/the-married-woman
94,Undekhi,2020,"Crime, Drama",0.0,Sony Liv,https://www.justwatch.com/in/tv-show/undekhi
95,Apharan,2018,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.3,Voot,https://www.justwatch.com/in/tv-show/apharan
96,Gen V,2023,"Action & Adventure, Drama, Science-Fiction, Comedy",7.8,Amazon Prime Video,https://www.justwatch.com/in/tv-show/gen-v
97,Peaky Blinders,2013,"Drama, Crime",8.8,Netflix,https://www.justwatch.com/in/tv-show/peaky-blinders
98,Doctor Who,2005,"Action & Adventure, Drama, Science-Fiction",8.6,Not Available for Streaming,https://www.justwatch.com/in/tv-show/doctor-who
99,The Night Manager,2023,"Drama, Action & Adventure, Crime, Mystery & Thriller",7.6,Hotstar,https://www.justwatch.com/in/tv-show/the-night-manager-2023
